traceId,traceName,comment,Context Precision,Context Recall,Faithfulness
2f9ca2e28d8933af040eb330e0d44ec7,eval_bge-m3-rrf-reranker-k6_v1_q38,""" ë¬¸ì_ ____ ëª©ì_ê³ ì¶__ ë°°ê²½ ¤ë__©°, ¨ì_ ê°__ ì¤__¼ë_ ____ ë¬¸ì_ ë³µí__ _.""",,,0.4
5d93e51469cc14d4502fd55411197b18,eval_bge-m3-rrf-reranker-k6_v1_q18,This sentence introduces the title of the report but does not convey informational content needing simplification. The complexity is minimal.,,,0.1
649288fde670c2910d6dd50a3b6ba594,eval_bge-m3-rrf-reranker-k6_v1_q32,ë³ ____ ê³µê³µAX °ì_°ì_ __ ¥ì_ê³ __ __ë¥ ëª©ì_¼ë_ ì¶____.  ë¬¸ì_  ê°__ ì£¼ì_  ê°__ __ë¡ êµ¬ì_ ¨ì_ ë¬¸ì_´ë_. ë³µì__ __.,,,0.2
74c7deb9632f29b95fa623f271c0ee9f,eval_bge-m3-rrf-reranker-k6_v1_q16,"""The first sentence introduces the report title, which is a simple declarative statement.""",,,0.1
996f98a61a35be04df38423e0b52f91d,eval_bge-m3-rrf-reranker-k6_v1_q19,"""ë³ ____ ¤ì_ __ __ AI ê¸°ë_¼ë_ ë¶____, __  ì£¼ì_ ê°_²´ ë° ë§¥ë_ _³´ë¥ __ ì¶____, ¼ì_ ê¶¤ë_Â·ê³ ë°©í_Â·ê³ __  ¤í_ì¸ ê²½ê¸° __ ¸ë __ ____ë¡ ë¶____ ê²__ ëª©ì_¼ë_ ì¶____µë_. ->  ë¬¸ì_ ê¸¸ê_ ë³µí___, ¤ì_ê³ ê°__ ë¶__  __: 1) ____ ëª©í_ ¤ì_ __ __ AI ê¸°ë_ ë¶__´ë_. 2) ____ __  ì£¼ì_ ê°_²´ _³´ë¥ __ ì¶____. 3) ____ __  ë§¥ë_ _³´ë¥ __ ì¶____. 4) ____ ¼ì_ ê¶¤ë_Â·ê³ ë°©í_Â·ê³ __  ¤í_ì¸ ê²½ê¸° __ __ ____ë¡ ë¶____. ê° ë¶__ ë¬¸ì_ ´í_ê° ½ë_. ë³µí_±ì_ __ ë¶__ê° __.""",,,0.3
cd79963e77996abe9c024cbffcdfe2ab,eval_bge-m3-rrf-reranker-k6_v1_q4,The sentence introduces the objective of the project but consists of multiple concepts and can be broken down for clarity.,,,0.5
cf691a9cd37792bf7ecf46c930498678,eval_bge-m3-rrf-reranker-k6_v1_q44,"""ì² ë²_§¸ ë¬¸ì_ ____ , ëª©ì_, ë°©ì_ ë³µí___ë¡ ¬í___ __ë©,  ê°ì§ ì£¼ì_ _³´(____ ì¶__ ë°°ê²½, ëª©ì_, ë¹__ ëª¨ë_, ë¶__ ë°©ì_)  ê°__ ´ì_ ¨ì_ __.""",,,0.4
d8a185d3687bca17f1f3472d9c11ce2e,eval_bge-m3-rrf-reranker-k6_v1_q10,"""ë³ ____ ëª©ì_ _²´ì½__ì¸(__ )  ë©_°ì_ ì¶__ ê°´ë_ë¥ ì²´ê___ë¡ ____, ì½__ì¸ ê²_·ì_ì²_·êë¦¬ì_ __  __ ___ °ì_ ì¶__ ë°  __¸ì_ë¥ _¦½__ ê²____.   ë¬¸ì_ ë³µí_ ëª©í_ë¥ ´ê_ __ë¯ë¡ ¬ë_ __ë¡ ë¶__  __.""",,,0.5
e4875ac75c110aa3ec136536ad77847b,eval_bge-m3-rrf-reranker-k6_v1_q34,Sentence: 'ë³ ____ ëª©ì_ __ ê´ ì§__  ì¦____ê³ __ µë _³µ__ RAG(Retrieval-Augmented Generation) ê¸°ë_ ì±__ ê°____ ê²____.' contains one main idea and is straightforward after rephrasing without pronouns.,,,0.4
f44939086879f1737175ddd26e1f9989,eval_bge-m3-rrf-reranker-k6_v1_q57,""" ë¬¸ì_ ____ ëª©í_ ëª©ì_  ë¬¸ì_¼ë_ ¤ë__©°, ê¸°ì_ ¸ë¬í_ __ ë³µì__ __.""",,,0.3
